station_name,year,band,orbit,orbit_direction,backscatter_DOY,backscatter_value
CO_335,2024,vv,151,ascending,69,-10.965899
CO_335,2024,vh,151,ascending,69,-16.01715
CO_335,2024,vv,151,ascending,81,-10.704822
CO_335,2024,vh,151,ascending,81,-15.782652
CO_335,2024,vv,151,ascending,93,-10.761928
CO_335,2024,vh,151,ascending,93,-15.451394
CO_335,2024,vv,151,ascending,105,-11.600562
CO_335,2024,vh,151,ascending,105,-16.374195
CO_335,2024,vv,151,ascending,117,-13.07015
CO_335,2024,vh,151,ascending,117,-17.58608
CO_335,2024,vv,151,ascending,129,-10.985459
CO_335,2024,vh,151,ascending,129,-16.249313
CO_335,2024,vv,151,ascending,141,-13.157567
CO_335,2024,vh,151,ascending,141,-17.20811
CO_335,2024,vv,151,ascending,153,-12.245996
CO_335,2024,vh,151,ascending,153,-16.65066
CO_485,2015,vv,56,descending,49,-11.697517
CO_485,2015,vv,56,descending,61,-11.67408
CO_485,2015,vv,56,descending,85,-9.5748625
CO_485,2015,vv,56,descending,133,-14.832537
CO_485,2015,vv,56,descending,157,-12.230156
CO_485,2015,vv,151,ascending,32,-12.423402
CO_485,2015,vv,151,ascending,56,-12.0150795
CO_485,2015,vv,151,ascending,80,-10.755169
CO_485,2015,vv,151,ascending,92,-11.935802
CO_485,2015,vh,151,ascending,92,-19.43989
CO_485,2015,vv,151,ascending,104,-14.013518
CO_485,2015,vv,151,ascending,128,-16.04571
CO_485,2015,vv,151,ascending,152,-14.627785
CO_485,2017,vv,56,descending,26,-12.65519
CO_485,2017,vv,56,descending,38,-12.993
CO_485,2017,vv,56,descending,50,-12.381501
CO_485,2017,vh,56,descending,50,-20.02345
CO_485,2017,vv,56,descending,62,-11.976833
CO_485,2017,vh,56,descending,62,-19.498293
CO_485,2017,vv,56,descending,74,-11.938879
CO_485,2017,vh,56,descending,74,-19.923033
CO_485,2017,vv,56,descending,86,-11.353996
CO_485,2017,vh,56,descending,86,-19.211836
CO_485,2017,vv,56,descending,98,-10.666529
CO_485,2017,vh,56,descending,98,-18.699915
CO_485,2017,vv,56,descending,110,-14.431801
CO_485,2017,vh,56,descending,110,-22.166927
CO_485,2017,vv,56,descending,122,-13.697977
CO_485,2017,vh,56,descending,122,-21.123775
CO_485,2017,vv,56,descending,134,-15.830181
CO_485,2017,vh,56,descending,134,-22.860275
CO_485,2017,vv,56,descending,146,-15.667757
CO_485,2017,vh,56,descending,146,-22.82788
CO_485,2017,vv,56,descending,158,-12.574881
CO_485,2017,vh,56,descending,158,-20.252655
CO_485,2017,vv,151,ascending,15,-12.449881
CO_485,2017,vh,151,ascending,15,-19.948503
CO_485,2017,vv,151,ascending,39,-12.3426285
CO_485,2017,vh,151,ascending,39,-19.797697
CO_485,2017,vv,151,ascending,45,-12.807031
CO_485,2017,vh,151,ascending,45,-19.39606
CO_485,2017,vv,151,ascending,63,-12.164293
CO_485,2017,vh,151,ascending,63,-19.446335
CO_485,2017,vv,151,ascending,75,-11.97028
CO_485,2017,vh,151,ascending,75,-19.263401
CO_485,2017,vv,151,ascending,123,-15.530844
CO_485,2017,vh,151,ascending,123,-21.93842
CO_485,2017,vv,151,ascending,135,-16.328121
CO_485,2017,vh,151,ascending,135,-22.867573
CO_485,2017,vv,151,ascending,147,-16.496605
CO_485,2017,vh,151,ascending,147,-22.862413
CO_485,2017,vv,151,ascending,159,-12.378702
CO_485,2017,vh,151,ascending,159,-19.997927
CO_485,2018,vv,56,descending,45,-12.231316
CO_485,2018,vh,56,descending,45,-19.80479
CO_485,2018,vv,56,descending,57,-12.321266
CO_485,2018,vh,56,descending,57,-20.127575
CO_485,2018,vv,56,descending,69,-12.494315
CO_485,2018,vh,56,descending,69,-20.044933
CO_485,2018,vv,56,descending,81,-11.926957
CO_485,2018,vh,56,descending,81,-19.812954
CO_485,2018,vv,56,descending,93,-11.694042
CO_485,2018,vh,56,descending,93,-19.571005
CO_485,2018,vv,56,descending,105,-11.074639
CO_485,2018,vh,56,descending,105,-19.227703
CO_485,2018,vv,56,descending,117,-10.863839
CO_485,2018,vh,56,descending,117,-19.381916
CO_485,2018,vv,56,descending,129,-12.922991
CO_485,2018,vh,56,descending,129,-21.353577
CO_485,2018,vv,56,descending,141,-12.142092
CO_485,2018,vh,56,descending,141,-20.022161
CO_485,2018,vv,151,ascending,82,-14.79067
CO_485,2018,vh,151,ascending,82,-21.961794
CO_485,2018,vv,151,ascending,94,-12.411041
CO_485,2018,vh,151,ascending,94,-19.895596
CO_485,2018,vv,151,ascending,106,-14.218855
CO_485,2018,vh,151,ascending,106,-21.31179
CO_485,2018,vv,151,ascending,118,-16.573454
CO_485,2018,vh,151,ascending,118,-23.111628
CO_485,2018,vv,151,ascending,142,-11.738449
CO_485,2018,vh,151,ascending,142,-19.339968
CO_485,2019,vv,56,descending,52,-11.209721
CO_485,2019,vh,56,descending,52,-19.194838
CO_485,2019,vv,56,descending,64,-11.100742
CO_485,2019,vh,56,descending,64,-19.37319
CO_485,2019,vv,56,descending,76,-10.788041
CO_485,2019,vh,56,descending,76,-18.728283
CO_485,2019,vv,56,descending,88,-10.513038
CO_485,2019,vh,56,descending,88,-18.912313
CO_485,2019,vv,56,descending,100,-9.994398
CO_485,2019,vh,56,descending,100,-18.53854
CO_485,2019,vv,56,descending,112,-10.55635
CO_485,2019,vh,56,descending,112,-19.116884
CO_485,2019,vv,56,descending,124,-15.75427
CO_485,2019,vh,56,descending,124,-22.421513
CO_485,2019,vv,56,descending,136,-16.219099
CO_485,2019,vh,56,descending,136,-22.928648
CO_485,2019,vv,56,descending,148,-15.495404
CO_485,2019,vh,56,descending,148,-23.063095
CO_485,2019,vv,56,descending,160,-14.150783
CO_485,2019,vh,56,descending,160,-22.245274
CO_485,2019,vv,56,descending,172,-9.884724
CO_485,2019,vh,56,descending,172,-19.192507
CO_485,2019,vv,151,ascending,137,-16.804462
CO_485,2019,vh,151,ascending,137,-23.128025
CO_485,2019,vv,151,ascending,149,-16.311905
CO_485,2019,vh,151,ascending,149,-23.393803
CO_485,2019,vv,151,ascending,161,-14.366113
CO_485,2019,vh,151,ascending,161,-22.321209
CO_485,2019,vv,151,ascending,173,-10.248975
CO_485,2019,vh,151,ascending,173,-18.58156
CO_485,2020,vv,56,descending,35,-11.630203
CO_485,2020,vh,56,descending,35,-19.623884
CO_485,2020,vv,56,descending,47,-11.690735
CO_485,2020,vh,56,descending,47,-19.392988
CO_485,2020,vv,56,descending,59,-11.158856
CO_485,2020,vh,56,descending,59,-19.457989
CO_485,2020,vv,56,descending,71,-11.358894
CO_485,2020,vh,56,descending,71,-19.361319
CO_485,2020,vv,56,descending,83,-11.081415
CO_485,2020,vh,56,descending,83,-18.759233
CO_485,2020,vv,56,descending,95,-11.102723
CO_485,2020,vh,56,descending,95,-18.948921
CO_485,2020,vv,56,descending,107,-9.371177
CO_485,2020,vh,56,descending,107,-17.621634
CO_485,2020,vv,56,descending,119,-11.525937
CO_485,2020,vh,56,descending,119,-20.17593
CO_485,2020,vv,56,descending,131,-13.217512
CO_485,2020,vh,56,descending,131,-21.426394
CO_485,2020,vv,56,descending,143,-12.7961645
CO_485,2020,vh,56,descending,143,-21.097939
CO_485,2020,vv,151,ascending,60,-11.876556
CO_485,2020,vh,151,ascending,60,-19.262276
CO_485,2020,vv,151,ascending,72,-11.701827
CO_485,2020,vh,151,ascending,72,-19.215813
CO_485,2020,vv,151,ascending,96,-11.263197
CO_485,2020,vh,151,ascending,96,-18.923513
CO_485,2020,vv,151,ascending,108,-9.913023
CO_485,2020,vh,151,ascending,108,-17.789955
CO_485,2020,vv,151,ascending,120,-16.36897
CO_485,2020,vh,151,ascending,120,-23.062017
CO_485,2020,vv,151,ascending,132,-15.762296
CO_485,2020,vh,151,ascending,132,-22.513372
CO_485,2020,vv,151,ascending,144,-12.772671
CO_485,2020,vh,151,ascending,144,-20.227146
CO_485,2021,vv,56,descending,41,-12.492193
CO_485,2021,vh,56,descending,41,-20.609217
CO_485,2021,vv,56,descending,53,-12.194698
CO_485,2021,vh,56,descending,53,-20.294516
CO_485,2021,vv,56,descending,65,-12.310928
CO_485,2021,vh,56,descending,65,-20.247648
CO_485,2021,vv,56,descending,77,-11.935634
CO_485,2021,vh,56,descending,77,-19.784447
CO_485,2021,vv,56,descending,89,-11.472206
CO_485,2021,vh,56,descending,89,-19.470865
CO_485,2021,vv,56,descending,101,-9.733458
CO_485,2021,vh,56,descending,101,-17.658474
CO_485,2021,vv,56,descending,113,-9.299816
CO_485,2021,vh,56,descending,113,-17.328209
CO_485,2021,vv,56,descending,125,-15.061545
CO_485,2021,vh,56,descending,125,-22.817421
CO_485,2021,vv,56,descending,137,-14.563942
CO_485,2021,vh,56,descending,137,-22.427958
CO_485,2021,vv,56,descending,149,-10.082531
CO_485,2021,vh,56,descending,149,-19.053944
CO_485,2021,vv,151,ascending,42,-12.375919
CO_485,2021,vh,151,ascending,42,-20.298155
CO_485,2021,vv,151,ascending,54,-12.3743305
CO_485,2021,vh,151,ascending,54,-20.241755
CO_485,2021,vv,151,ascending,66,-12.579669
CO_485,2021,vh,151,ascending,66,-20.157927
CO_485,2021,vv,151,ascending,78,-12.48906
CO_485,2021,vh,151,ascending,78,-19.94932
CO_485,2021,vv,151,ascending,90,-11.890928
CO_485,2021,vh,151,ascending,90,-19.397184
CO_485,2021,vv,151,ascending,102,-14.849592
CO_485,2021,vh,151,ascending,102,-21.369518
CO_485,2021,vv,151,ascending,114,-9.8806505
CO_485,2021,vh,151,ascending,114,-17.301071
CO_485,2021,vv,151,ascending,126,-15.552268
CO_485,2021,vh,151,ascending,126,-22.944918
CO_485,2021,vv,151,ascending,138,-15.600853
CO_485,2021,vh,151,ascending,138,-22.09339
CO_485,2021,vv,151,ascending,150,-10.25193
CO_485,2021,vh,151,ascending,150,-17.873981
CO_485,2022,vv,56,descending,12,-11.558653
CO_485,2022,vh,56,descending,12,-19.755293
CO_485,2022,vv,56,descending,24,-11.533923
CO_485,2022,vh,56,descending,24,-20.137167
CO_485,2022,vv,56,descending,36,-11.708332
CO_485,2022,vh,56,descending,36,-19.935686
CO_485,2022,vv,56,descending,48,-11.921988
CO_485,2022,vh,56,descending,48,-19.926495
CO_485,2022,vv,56,descending,60,-12.185365
CO_485,2022,vh,56,descending,60,-20.245975
CO_485,2022,vv,56,descending,72,-11.939394
CO_485,2022,vh,56,descending,72,-20.09472
CO_485,2022,vv,56,descending,84,-11.565905
CO_485,2022,vh,56,descending,84,-19.720575
CO_485,2022,vv,56,descending,96,-10.122071
CO_485,2022,vh,56,descending,96,-18.160528
CO_485,2022,vv,56,descending,108,-9.312299
CO_485,2022,vh,56,descending,108,-17.588085
CO_485,2022,vv,56,descending,120,-12.080381
CO_485,2022,vh,56,descending,120,-20.01154
CO_485,2022,vv,56,descending,132,-14.344586
CO_485,2022,vh,56,descending,132,-21.93122
CO_485,2022,vv,56,descending,144,-11.026043
CO_485,2022,vh,56,descending,144,-19.724358
CO_485,2023,vv,56,descending,43,-12.080235
CO_485,2023,vh,56,descending,43,-19.874023
CO_485,2023,vv,56,descending,55,-11.663876
CO_485,2023,vh,56,descending,55,-20.014668
CO_485,2023,vv,56,descending,67,-11.615665
CO_485,2023,vh,56,descending,67,-20.204792
CO_485,2023,vv,56,descending,79,-11.570219
CO_485,2023,vh,56,descending,79,-19.665552
CO_485,2023,vv,56,descending,91,-11.501501
CO_485,2023,vh,56,descending,91,-19.509602
CO_485,2023,vv,56,descending,103,-11.4815855
CO_485,2023,vh,56,descending,103,-19.762966
CO_485,2023,vv,56,descending,115,-10.419618
CO_485,2023,vh,56,descending,115,-18.876226
CO_485,2023,vv,56,descending,127,-13.652042
CO_485,2023,vh,56,descending,127,-21.763119
CO_485,2023,vv,56,descending,139,-14.821731
CO_485,2023,vh,56,descending,139,-21.856462
CO_485,2023,vv,151,ascending,38,-11.360616
CO_485,2023,vh,151,ascending,38,-19.046366
CO_485,2023,vv,151,ascending,50,-11.565341
CO_485,2023,vh,151,ascending,50,-19.138733
CO_485,2023,vv,151,ascending,62,-11.62363
CO_485,2023,vh,151,ascending,62,-19.136065
CO_485,2023,vv,151,ascending,74,-11.64838
CO_485,2023,vh,151,ascending,74,-18.944122
CO_485,2023,vv,151,ascending,86,-11.262831
CO_485,2023,vh,151,ascending,86,-18.458054
CO_485,2023,vv,151,ascending,98,-11.098545
CO_485,2023,vh,151,ascending,98,-18.27229
CO_485,2023,vv,151,ascending,110,-12.93018
CO_485,2023,vh,151,ascending,110,-19.925688
CO_485,2023,vv,151,ascending,122,-15.765326
CO_485,2023,vh,151,ascending,122,-21.441956
CO_485,2023,vv,151,ascending,134,-15.101214
CO_485,2023,vh,151,ascending,134,-21.298191
CO_485,2023,vv,151,ascending,146,-12.009006
CO_485,2023,vh,151,ascending,146,-18.436192
CO_485,2023,vv,151,ascending,158,-9.546642
CO_485,2023,vh,151,ascending,158,-16.542677
CO_485,2024,vv,56,descending,62,-12.020384
CO_485,2024,vh,56,descending,62,-19.90331
CO_485,2024,vv,56,descending,74,-11.793219
CO_485,2024,vh,56,descending,74,-19.81768
CO_485,2024,vv,56,descending,86,-11.269054
CO_485,2024,vh,56,descending,86,-19.200087
CO_485,2024,vv,56,descending,98,-10.778871
CO_485,2024,vh,56,descending,98,-18.772661
CO_485,2024,vv,56,descending,110,-11.833309
CO_485,2024,vh,56,descending,110,-19.932962
CO_485,2024,vv,56,descending,122,-14.919336
CO_485,2024,vh,56,descending,122,-22.142221
CO_485,2024,vv,56,descending,134,-14.539095
CO_485,2024,vh,56,descending,134,-22.480917
CO_485,2024,vv,56,descending,146,-14.621014
CO_485,2024,vh,56,descending,146,-22.246277
